cycle,p1_wins,p2_wins,draws,mean_game_length,min_game_length,max_game_length,mean_walls_placed,mean_policy_entropy,value_accuracy,loss_total,loss_policy,loss_value,holdout_loss_total,holdout_loss_policy,holdout_loss_value,lr,boardsize,walls_per_player,games_per_cycle,mcts_sims,mcts_sims_fast,fast_play_prob,fast_kl_threshold,temp_threshold,c_puct,dirichlet_alpha,dirichlet_epsilon,dist_bonus_weight_max,fpu_reduction,random_wall_plies,random_wall_fraction,buffer_cycles,batch_size,train_positions_per_cycle,buffer_recency_decay,learning_rate,weight_decay,value_loss_weight,lr_milestones,lr_decay,filters,num_residual,gpool_every,num_workers,value_head,pawn_head
80,,,,,,,,,0.8659,1.203198,0.846781,0.356417,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
81,,,,,,,,,0.8708,1.218181,0.869677,0.348504,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
82,,,,,,,,,0.8706,1.187856,0.841861,0.345995,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
83,,,,,,,,,0.8761,1.181301,0.845764,0.335537,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
84,,,,,,,,,0.8762,1.198756,0.864624,0.334132,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
85,,,,,,,,,0.8762,1.192934,0.860842,0.332091,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
86,,,,,,,,,0.8748,1.178861,0.845217,0.333644,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
87,,,,,,,,,0.8796,1.165378,0.837678,0.327701,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
88,,,,,,,,,0.8842,1.167081,0.846590,0.320491,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
89,,,,,,,,,0.8884,1.172510,0.860409,0.312101,,,,3.00e-04,9,10,2048,800,128,0.0,0.7,"sched(0.8->0.15,hl=6.0)",1.0,0.3,0.25,0.5,0.1,1,0.05,30,1024,1024000,0.92,0.0003,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8,pooled,local
