game,agent_a,agent_b,player1,player2,result,score_for_a,plies
98,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,1.0,36
99,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,p2_win,0.0,36
100,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,1.0,36
101,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,p2_win,0.0,40
102,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,1.0,36
103,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,p1_win,1.0,43
104,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,1.0,36
105,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,1.0,42
106,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,1.0,54
107,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,p2_win,0.0,34
108,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,p1_win,1.0,43
109,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,p1_win,0.0,37
110,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0152.pt,p1_win,1.0,45
