game,agent_a,agent_b,player1,player2,result,score_for_a,plies
572,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,67
573,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p2_win,1.0,70
574,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,65
575,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,71
576,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,75
577,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,71
578,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,65
579,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,65
580,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p1_win,0.0,75
581,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,65
582,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,67
583,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,67
584,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,69
585,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,p2_win,1.0,72
586,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,runs\models_9x9\best.pt,runs\models_9x9\checkpoints\cycle_0186.pt,p1_win,1.0,81
